Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
AA5754,1,AA6014,1.5,Scher,2.5,36,70,1.592549,,
AA5754,1,AA6014,1.5,Scher,3,32,60,3.417359,,
AA5754,1,AA6014,1.5,Scher,3,34,50,1.901121,,
AA5754,1,AA6014,1.5,Scher,3,34,60,2.629717,,
AA5754,1,AA6014,1.5,Scher,3,34,70,2.093809,,
AA5754,1,AA6014,1.5,Scher,3,36,60,2.52341,,
AA5754,1,AA6014,1.5,Scher,3.5,32,50,2.409692,,
AA5754,1,AA6014,1.5,Scher,3.5,32,70,2.826658,,
AA5754,1,AA6014,1.5,Scher,3.5,34,60,3.066729,,
AA5754,1,AA6014,1.5,Scher,3.5,36,50,3.057253,,
AA5754,1,AA6014,1.5,Scher,3.5,36,70,1.986409,,
AA6014,1.5,AA6014,1.5,Scher,3.5,37,90,2.924582,,
AA6014,1.5,AA6014,1.5,Scher,3.5,37,110,3.167812,,
AA6014,1.5,AA6014,1.5,Scher,3.5,38,100,3.704813,,
AA6014,1.5,AA6014,1.5,Scher,3.5,39,90,3.546871,,
AA6014,1.5,AA6014,1.5,Scher,3.5,39,110,3.420518,,
AA6014,1.5,AA6014,1.5,Scher,4,37,100,3.234147,,
AA6014,1.5,AA6014,1.5,Scher,4,38,90,3.300482,,
AA6014,1.5,AA6014,1.5,Scher,4,38,100,3.395578,,
AA6014,1.5,AA6014,1.5,Scher,4,38,110,3.114111,,
AA6014,1.5,AA6014,1.5,Scher,4,39,100,3.347865,,
AA6014,1.5,AA6014,1.5,Scher,4.5,37,90,3.319435,,
AA6014,1.5,AA6014,1.5,Scher,4.5,37,110,3.805895,,
AA6014,1.5,AA6014,1.5,Scher,4.5,38,100,3.556348,,
AA6014,1.5,AA6014,1.5,Scher,4.5,39,90,3.174127,,
AA6014,1.5,AA6014,1.5,Scher,4.5,39,110,3.123588,,
AA6014,1.5,AL6547,1,Scher,2.5,32,50,2.791911,,
AA6014,1.5,AL6547,1,Scher,2.5,32,70,2.814023,,
AA6014,1.5,AL6547,1,Scher,2.5,34,60,2.968805,,
AA6014,1.5,AL6547,1,Scher,2.5,36,50,3.082523,,
AA6014,1.5,AL6547,1,Scher,2.5,36,70,2.978282,,
AA6014,1.5,AL6547,1,Scher,3,32,60,2.79507,,
AA6014,1.5,AL6547,1,Scher,3,34,50,3.268894,,
AA6014,1.5,AL6547,1,Scher,3,34,60,2.925607,,
AA6014,1.5,AL6547,1,Scher,3,34,70,2.646605,,
AA6014,1.5,AL6547,1,Scher,3,36,60,2.915105,,
AA6014,1.5,AL6547,1,Scher,3.5,32,50,2.804546,,
AA6014,1.5,AL6547,1,Scher,3.5,32,70,2.860387,,
AA6014,1.5,AL6547,1,Scher,3.5,34,60,3.316277,,
AA6014,1.5,AL6547,1,Scher,3.5,36,50,2.406534,,
AA6014,1.5,AL6547,1,Scher,3.5,36,70,2.757164,,
AL6547,1,AL6547,1,Scher,2.5,32,50,2.482257,,
AL6547,1,AL6547,1,Scher,2.5,32,70,2.744528,,
AL6547,1,AL6547,1,Scher,2.5,34,60,3.085682,,
AL6547,1,AL6547,1,Scher,2.5,36,50,2.883517,,
AL6547,1,AL6547,1,Scher,2.5,36,70,2.798228,,
AL6547,1,AL6547,1,Scher,3,32,60,2.355992,,
AL6547,1,AL6547,1,Scher,3,34,50,2.510775,,
AL6547,1,AL6547,1,Scher,3,34,60,2.77006,,
AL6547,1,AL6547,1,Scher,3,34,70,2.532887,,
AL6547,1,AL6547,1,Scher,3,36,60,3.041458,,
AL6547,1,AL6547,1,Scher,3.5,32,50,2.134696,,
AL6547,1,AL6547,1,Scher,3.5,32,70,2.529728,,
AL6547,1,AL6547,1,Scher,3.5,34,60,2.485504,,
AL6547,1,AL6547,1,Scher,3.5,36,50,2.611867,,
AL6547,1,AL6547,1,Scher,3.5,36,70,2.738211,,
AA6014,1.5,AA5754,1,Scher,2.5,32,50,2.071698,,
AA6014,1.5,AA5754,1,Scher,2.5,32,70,2.949852,,
AA6014,1.5,AA5754,1,Scher,2.5,34,60,2.141192,,
AA6014,1.5,AA5754,1,Scher,2.5,36,50,1.721067,,
AA6014,1.5,AA5754,1,Scher,2.5,36,70,1.592549,,
AA6014,1.5,AA5754,1,Scher,3,32,60,3.417359,,
AA6014,1.5,AA5754,1,Scher,3,34,50,1.901121,,
AA6014,1.5,AA5754,1,Scher,3,34,60,2.629717,,
AA6014,1.5,AA5754,1,Scher,3,34,70,2.093809,,
AA6014,1.5,AA5754,1,Scher,3,36,60,2.52341,,
AA6014,1.5,AA5754,1,Scher,3.5,32,50,2.409692,,
AA6014,1.5,AA5754,1,Scher,3.5,32,70,2.826658,,
AA6014,1.5,AA5754,1,Scher,3.5,34,60,3.066729,,
AA6014,1.5,AA5754,1,Scher,3.5,36,50,3.057253,,
AA6014,1.5,AA5754,1,Scher,3.5,36,70,1.986409,,
AL6547,1,AA5754,1,Scher,2.5,32,50,2.485504,,
AL6547,1,AA5754,1,Scher,2.5,32,70,2.763481,,
AL6547,1,AA5754,1,Scher,2.5,34,60,2.450757,,
AL6547,1,AA5754,1,Scher,2.5,36,50,2.769799,,
AL6547,1,AA5754,1,Scher,2.5,36,70,2.564475,,
AL6547,1,AA5754,1,Scher,3,32,60,3.031982,,
AL6547,1,AA5754,1,Scher,3,34,50,2.681352,,
AL6547,1,AA5754,1,Scher,3,34,60,3.050784,,
