Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
AA6014,1.5,AL6547,1,Kopf,2.5,34,60,1.907438,,
AA6014,1.5,AL6547,1,Kopf,2.5,36,50,1.942186,,
AA6014,1.5,AL6547,1,Kopf,2.5,36,70,2.346516,,
AA6014,1.5,AL6547,1,Kopf,3,32,60,1.705273,,
AA6014,1.5,AL6547,1,Kopf,3,34,50,1.860056,,
AA6014,1.5,AL6547,1,Kopf,3,34,60,1.984966,,
AA6014,1.5,AL6547,1,Kopf,3,34,70,2.153827,,
AA6014,1.5,AL6547,1,Kopf,3,36,60,1.837944,,
AA6014,1.5,AL6547,1,Kopf,3.5,32,50,1.583262,,
AA6014,1.5,AL6547,1,Kopf,3.5,32,70,1.60735,,
AA6014,1.5,AL6547,1,Kopf,3.5,34,60,1.796879,,
AA6014,1.5,AL6547,1,Kopf,3.5,36,50,2.163304,,
AA6014,1.5,AL6547,1,Kopf,3.5,36,70,1.837944,,
AL6547,1,AL6547,1,Kopf,2.5,32,50,1.323055,,
AL6547,1,AL6547,1,Kopf,2.5,32,70,1.534696,,
AL6547,1,AL6547,1,Kopf,2.5,34,60,1.885327,,
AL6547,1,AL6547,1,Kopf,2.5,36,50,1.717909,,
AL6547,1,AL6547,1,Kopf,2.5,36,70,1.781085,,
AL6547,1,AL6547,1,Kopf,3,32,60,1.629461,,
AL6547,1,AL6547,1,Kopf,3,34,50,2.06538,,
AL6547,1,AL6547,1,Kopf,3,34,60,1.736798,,
AL6547,1,AL6547,1,Kopf,3,34,70,1.901121,,
AL6547,1,AL6547,1,Kopf,3,36,60,1.480996,,
AL6547,1,AL6547,1,Kopf,3.5,32,50,1.436773,,
AL6547,1,AL6547,1,Kopf,3.5,32,70,1.531538,,
AL6547,1,AL6547,1,Kopf,3.5,34,60,1.717909,,
AL6547,1,AL6547,1,Kopf,3.5,36,50,1.825309,,
AL6547,1,AL6547,1,Kopf,3.5,36,70,1.834785,,
AA6014,1.5,AA5754,1,Kopf,2.5,32,50,2.188574,,
AA6014,1.5,AA5754,1,Kopf,2.5,32,70,1.945344,,
AA6014,1.5,AA5754,1,Kopf,2.5,34,60,1.387225,,
AA6014,1.5,AA5754,1,Kopf,2.5,36,50,2.22648,,
AA6014,1.5,AA5754,1,Kopf,2.5,36,70,1.433614,,
AA6014,1.5,AA5754,1,Kopf,3,32,60,1.689479,,
AA6014,1.5,AA5754,1,Kopf,3,34,50,1.515743,,
AA6014,1.5,AA5754,1,Kopf,3,34,60,1.858974,,
AA6014,1.5,AA5754,1,Kopf,3,34,70,1.487314,,
AA6014,1.5,AA5754,1,Kopf,3,36,60,2.049586,,
AA6014,1.5,AA5754,1,Kopf,3.5,32,50,2.059062,,
AA6014,1.5,AA5754,1,Kopf,3.5,32,70,2.068539,,
AA6014,1.5,AA5754,1,Kopf,3.5,34,60,1.420979,,
AA6014,1.5,AA5754,1,Kopf,3.5,36,50,1.866374,,
AA6014,1.5,AA5754,1,Kopf,3.5,36,70,2.128556,,
AL6547,1,AA5754,1,Kopf,2.5,32,50,1.136684,,
AL6547,1,AA5754,1,Kopf,2.5,32,70,1.301937,,
AL6547,1,AA5754,1,Kopf,2.5,34,60,1.632804,,
AL6547,1,AA5754,1,Kopf,2.5,36,50,1.932709,,
AL6547,1,AA5754,1,Kopf,2.5,36,70,2.062221,,
AL6547,1,AA5754,1,Kopf,3,32,60,1.995886,,
AL6547,1,AA5754,1,Kopf,3,34,50,1.989568,,
AL6547,1,AA5754,1,Kopf,3,34,60,2.084782,,
AL6547,1,AA5754,1,Kopf,3,34,70,1.314616,,
AL6547,1,AA5754,1,Kopf,3,36,60,1.967456,,
AL6547,1,AA5754,1,Kopf,3.5,32,50,1.872691,,
